2018-04-12,삼성전기,6.94,MLCC 업황 호조 속 실적개선 기대감에 강세,"▷한국투자증권은 동사에 대해 MLCC 장기 호황 국면이 지속될 것으로 예상됨에 따라 이익 증가세가 이어질 것으로 전망.▷이와 관련, IT용 MLCC 산업 스펙의 고사양화로 수요가 빠르게 늘어남에도 불구하고 공급자가 제한적이라며 가격이 상승하는 호황기에 있다고 밝힘. 아울러 중장기적으로도 IoT, 5G 등 MLCC가 필요한 산업이 빠르게 커지고 있어 수요 증가 및 가격 상승 현상이 당분간 지속될 것으로 전망.▷이에 올해 예상 매출액은 8조160억원, 영업이익 7,020억원, 당기순이익 4,270억원을 기록해 전년대비 각각 17.2%, 129.2%, 164.4% 증가할 것으로 전망.▷투자의견 : 매수[유지], 목표주가 : 130,000원 → 140,000원[상향]"
2018-04-12,LG이노텍,0.0542,하반기 실적 개선 기대감에 상승,"▷한국투자증권은 동사에 대해 상반기까지는 북미 주요 고객사의 전략 스마트폰 판매가 저조해 실적이 부진할 전망이나, 하반기부터 매출액과 이익이 빠르게 늘어나면서 주가도 반등할 것으로 분석. 특히, 하반기 출시할 신모델 3종에 모두 신기술 카메라모듈이 채용될 것으로 추정돼 연간 신기술 카메라모듈 관련 매출액은 전년대비 207% 증가할 것으로 전망.▷아울러 주요 고객사의 중장기 전략이 AR/VR에 집중됐기 때문에 고객사 내 신기술 카메라모듈 채용 비중은 꾸준히 커질 것이며, 시장 규모가 급속도로 커지고 있는 전장사업부도 매년 안정적으로 매출액과 영업이익이 늘고 있어 중장기 매출 증가세를 견인할 것으로 전망.▷투자의견 : BUY[신규], 목표주가 : 190,000원[신규]"
2018-04-12,대림산업,6.94,국내 주택부문 바탕으로 이익 성장 지속 전망에 상승,"▷NH투자증권은 전일 동사에 대해 보수적인 해외부문 수주 가이던스이지만, 국내 주택부문 이익을 바탕으로한 이익 성장은 지속될 것으로 전망. 올해 국내 주택부문 분양 목표는 32,500세대(2017년 19,000세대 달성)로 그 중 수도권은 21,000세대, 나머지는 지방이라고 밝힘. ▷아울러 에틸렌 투자는 유화부문 자체 자금으로 충당 가능한 긍정적인 투자라고 밝힘. ▷투자의견 : 매수[유지], 목표주가 : 105,000원[유지]"
2018-04-12,SK하이닉스,1.0542,반도체 공급 증가 우려 감소에 상승,"▷삼성증권은 보고서를 통해 반도체 공급증가를 위한 기술적 어려움은 지속되고 있고 Capa 증설은 시황에 따라 탄력적으로 운영되고 있으며, 우려했던 중국의 진입도 지연되고 미중 무역분쟁으로 인한 영향도 제한적이라고 분석. 이에 공급에 대한 가시성이 개선됨에 따라 동사의 올해와 내년 영업이익 전망치를 각각 15.9조와 12.1조에서 17.7조와 15.5조로 상향 조정함.▷아울러 공급에 대한 우려가 줄어든다면 가격환경은 내년까지도 호황을 유지할 수 있을 것으로 예상하며, 이익의 변동폭은 작은 하락에 그칠 것으로 전망.▷투자의견 : HOLD → BUY[상향], 목표주가 : 90,000원 → 100,000원[상향]"
2018-04-12,신성이엔지,6.94,中 기업과 397.76억원 규모 공급계약 체결에 상승,"▷동사는 중국의 Mianyang BOE Optoelectronics Technology Co.,Ltd와 397.76억원 규모의 디스플레이 제조장비 공급계약을 체결했다고 공시. 이는 지난해 매출액 대비 4% 규모이며, 계약 기간은 2018년4월11일부터 2018년12월10일까지임."
2018-04-12,S-Oil,2.0542,3년 이익성장 사이클 시작점 분석에 소폭 상승,"▷현대차투자증권은 동사에 대해 3년간의 이익 개선 Cycle을 목전에 두고 있는 상황이라고 분석. 이는 2020년부터 IMO 환경기준 강화로 잔사유 수익성이 더욱 낮아질 전망이고, 중간유분 마진이 개선될 것이기 때문으로 분석.▷아울러 정제마진은 등/경유를 중심으로 견조한 상황이며, 2020년까지 증설이 많지 않고, 경기가 점진적으로 회복하면서 정제마진 호조는 이어질 것으로 전망.▷투자의견 : BUY[유지], 목표주가 : 165,000원[유지]"
2018-04-12,필룩스,6.94,스캇 월드만 교수 등 사내이사 선임 예정 소식에 소폭 상승,"▷동사는 전일 장 마감 후 주주총회소집결의 정정공시를 통해 스캇 월드만(SCOTT ARTHUR WALDMAN) 교수와 해리 아레나(Harry A. Arena) 대표를 사내이사로 선임할 예정이라고 밝힘.▷회사측 관계자는 스캇 월드만 교수는 코아젠투스의 실질적 대주주이며, 해리 아레나 대표는 TDT(타겟티드다이아그노스틱스 & 테라퓨틱스)의 대표로 동사의 신약개발 사업의 시너지가 기대된다고 밝힘."
2018-04-12,IHQ,6.94,"최대주주 딜라이브, 지분 매각 중단에 급락",▷동사는 최대주주 지분 매각 추진설에 대한 조회공시 요구에 대한 답변으로 최대주주인 (주)딜라이브는 그동안 검토해 오던 동사 지분 매각을 중단하게 되었다고 밝힘.
2018-04-11,현대건설기계,1.0542,中 시장 점유율 확대 기대감에 급등,"▷현대차투자증권은 전일 동사에 대해 중국 시장 내 점유율은 낮은 편이나 지난해 중국 시장 내 점유율이 늦게 올라오기 시작한 기저 효과로 인해 올해 중국 시장에서 1%P 이상 점유율이 확대될 것으로 분석. 이에 올해 연결 기준 매출액 3조1,580억원, 영업이익 1,970억원을 기록하며 각각 22%, 43% 성장할 것으로 전망.▷투자의견 : Buy[신규], 목표주가 : 220,000원[신규]"
2018-04-11,신세계인터내셔날,6.94,1분기 실적 기대감에 강세,"▷한국투자증권은 동사에 대해 1분기 매출액이 전년동기대비 13% 증가한 3,060억원, 영업이익은 120% 급증한 97억원(영업이익률 3.2%, +1.6%p YoY)을 기록하며 컨센서스(72억원)를 크게 상회할 것으로 전망. 이는 화장품 사업 매출액이 약 400억원으로 전년동기대비 300% 이상 성장하면서 영업이익이 60억원(영업이익률 15% 상회) 이상 예상되기 때문이라고 밝힘.▷아울러 연간 화장품 매출액은 지난해 630억원에서 올해 1,600억원으로 크게 증가할 전망이며, 영업이익률은 9%에서 올해 15%로 상승할 것으로 분석.  ▷투자의견 : 매수[유지], 목표주가 : 133,000원 → 154,000원[상향]"
